             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON) 
          13166824   regular run_r_sc  p230198 CG       0:19      1 pg-node199 
          13166859   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166860   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166861   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166862   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166863   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166864   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166865   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166866   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166868   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166869   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166870   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166871   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166872   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166873   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166874   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13166875   regular run_r_sc  p230198 PD       0:00      1 (Priority) 
          13155306   regular run_r_sc  p230198  R      40:49      1 pg-node203 
          13166813   regular run_r_sc  p230198  R       0:20      1 pg-node202 
          13166814   regular run_r_sc  p230198  R       0:20      1 pg-node202 
          13166815   regular run_r_sc  p230198  R       0:20      1 pg-node202 
          13166816   regular run_r_sc  p230198  R       0:20      1 pg-node202 
          13166817   regular run_r_sc  p230198  R       0:20      1 pg-node202 
          13166818   regular run_r_sc  p230198  R       0:20      1 pg-node202 
          13166819   regular run_r_sc  p230198  R       0:20      1 pg-node199 
          13166821   regular run_r_sc  p230198  R       0:20      1 pg-node199 
          13166823   regular run_r_sc  p230198  R       0:20      1 pg-node199 
          13166825   regular run_r_sc  p230198  R       0:20      1 pg-node198 
          13166827   regular run_r_sc  p230198  R       0:20      1 pg-node198 
          13166829   regular run_r_sc  p230198  R       0:20      1 pg-node198 
          13166830   regular run_r_sc  p230198  R       0:20      1 pg-node198 
          13166832   regular run_r_sc  p230198  R       0:20      1 pg-node198 
          13166833   regular run_r_sc  p230198  R       0:20      1 pg-node192 
          13166834   regular run_r_sc  p230198  R       0:20      1 pg-node192 
          13166835   regular run_r_sc  p230198  R       0:20      1 pg-node192 
          13166836   regular run_r_sc  p230198  R       0:20      1 pg-node191 
          13166837   regular run_r_sc  p230198  R       0:20      1 pg-node191 
          13166838   regular run_r_sc  p230198  R       0:20      1 pg-node191 
          13166839   regular run_r_sc  p230198  R       0:20      1 pg-node188 
          13166841   regular run_r_sc  p230198  R       0:20      1 pg-node185 
          13166842   regular run_r_sc  p230198  R       0:20      1 pg-node185 
          13166843   regular run_r_sc  p230198  R       0:20      1 pg-node179 
          13166844   regular run_r_sc  p230198  R       0:20      1 pg-node179 
          13166845   regular run_r_sc  p230198  R       0:20      1 pg-node179 
          13166846   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166847   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166848   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166849   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166850   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166851   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166852   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166853   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166854   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166855   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166856   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166857   regular run_r_sc  p230198  R       0:20      1 pg-node173 
          13166858   regular run_r_sc  p230198  R       0:20      1 pg-node167 
          13164837   regular run_r_sc  p230198  R      43:51      1 pg-node203 
          13164838   regular run_r_sc  p230198  R      43:51      1 pg-node202 
